ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
10;Barbat;42;Urban;GALATI;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Nu lucrez;> 8000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
11;Barbat;36;Urban;COVASNA;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;Scump;7;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
12;Femeie;24;Urban;CONSTANTA;Chiar daca am televizor, nu ma uit niciodata;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Refuz;751 - 1.000 lei;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;Prea scump;Prea scump;4;Poate il voi schimba, poate nu;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
13;Barbat;38;Urban;CONSTANTA;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;0;Inginer, economist, doctor, professor;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;;;;;;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
14;Barbat;29;Urban;DOLJ;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;1;Functionar;Nu realizez venituri;Asa si-asa;Asa si-asa;Cu siguranta da;;;7;Poate il voi schimba, poate nu;Cu siguranta voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;;Televiziune prin satelit;;;
15;Barbat;33;Urban;PRAHOVA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Inginer, economist, doctor, professor;1.701 - 2.000 lei;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
16;Barbat;42;Urban;OLT;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;751 - 1.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
17;Barbat;34;Rural;CONSTANTA;O data pe saptamana;Facultate (3-5 ani);Necasatorit/a;Nu;;0;Functionar;1.001 - 1.700 lei;Nu prea-mi place;Nu prea mi se potriveste;Mai degraba nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
18;Barbat;33;Urban;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Functionar;Nu realizez venituri;imi place mult;Mi se potriveste foarte bine;Poate da, poate nu;Prea scump;Prea scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
19;Barbat;40;Urban;BUZAU;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Refuz;4.001 - 5.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;Scump;Scump;6;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
20;Barbat;35;Urban;HUNEDOARA;De 4-5 ori pe saptamana;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;2;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;;;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
21;Barbat;30;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Functionar;4.001 - 5.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
22;Barbat;32;Urban;IASI;Chiar daca am televizor, nu ma uit niciodata;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;2;Functionar;1.001 - 1.700 lei;Asa si-asa;Nu prea mi se potriveste;Probabil da;Prea scump;Prea scump;9;Poate il voi schimba, poate nu;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
23;Barbat;25;Urban;GORJ;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;2.001 - 3.000 lei;imi place mult;Asa si-asa;Poate da, poate nu;;;;;;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
24;Barbat;44;Urban;CLUJ;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;2;Nu lucrez;Refuz sa raspund;Asa si-asa;Asa si-asa;Probabil da;Scump;Prea scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
25;Barbat;39;Urban;GALATI;Zilnic;Liceu (12 clase);Necasatorit/a;Da;2 copii;4;Muncitor calificat;Nu realizez venituri;Asa si-asa;Mi se potriveste destul de bine;Cu siguranta da;Ieftin;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
26;Barbat;40;Urban;NEAMT;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;751 - 1.000 lei;Nu-mi place deloc;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
27;Barbat;37;Urban;CLUJ;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;1;Muncitor calificat;3.001 - 4.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
28;Barbat;36;Urban;SALAJ;;Facultate (3-5 ani);Necasatorit/a;Nu;;0;Inginer, economist, doctor, professor;2.001 - 3.000 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Scump;Scump;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
29;Barbat;27;Urban;CLUJ;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Manager / director;;Asa si-asa;Mi se potriveste destul de bine;Probabil da;Acceptabil;Acceptabil;;;;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;;;Televiziune prin cablu;;;;
30;Barbat;26;Rural;PRAHOVA;De 2-3 ori pe saptamana;Liceu (12 clase);Necasatorit/a;Nu;;0;Nu lucrez;751 - 1.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;;;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;;;;;Nu avem niciun fel de televiziune
31;Barbat;34;Urban;CONSTANTA;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;2.001 - 3.000 lei;Nu prea-mi place;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Prea scump;8;Cu siguranta il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
32;Barbat;44;Urban;MURES;O data la cateva luni sau mai rar;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;1;Detin o afacere;2.001 - 3.000 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
33;Barbat;42;Urban;BUCURESTI;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Nu;;1;Muncitor calificat;Nu realizez venituri;imi place mult;Mi se potriveste foarte bine;Probabil da;Prea scump;Prea scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
34;Barbat;39;Urban;BIHOR;De 4-5 ori pe saptamana;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;;
35;Barbat;43;Rural;CLUJ;Zilnic;Studii postuniversitare (master, doctorat);Divortat/a / Separat/a;Da;1 copil;3;Functionar;;Asa si-asa;Asa si-asa;Mai degraba nu;Scump;Ieftin;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
36;Barbat;41;Urban;SUCEAVA;O data la cateva luni sau mai rar;Refuz sa raspund;Necasatorit/a;Nu;;2;Refuz;751 - 1.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;8;Poate il voi schimba, poate nu;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
37;Barbat;35;Urban;HARGHITA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;3 copii;5;Functionar;751 - 1.000 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Scump;Prea ieftin;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
38;Barbat;26;Urban;IASI;De 2-3 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;1;Profesii liberale: architect, notar, avocat, specialist IT, etc.;Sub 750 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
39;Femeie;33;Urban;IALOMITA;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;4;Nu lucrez;4.001 - 5.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;;;;;;;;;;;;Televiziune prin cablu;;;;
40;Barbat;39;Urban;TIMIS;De 2-3 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Nu lucrez;3.001 - 4.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Scump;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
41;Barbat;43;Urban;TIMIS;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;2;Muncitor calificat;Nu realizez venituri;Nu prea-mi place;Nu prea mi se potriveste;Cu siguranta nu;Scump;Scump;10;Cu siguranta il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
42;Barbat;31;Urban;CARAS-SEVERIN;Zilnic;Liceu (12 clase);Necasatorit/a;Da;2 copii;4;Muncitor calificat;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Acceptabil;10;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
